Phon1	Phon2	Phon3	Count	Centered Prob(Phon2 | Phon1 ... Phon3)
z	p	8	1	1
D	t	V	1	1
q	n	d	2	1
N	@	R	17	1
N	1	d	1	1
i	t	9	2	1
l	j	9	8	1
N	k	7	1	1
$	J	g	1	1
S	J	8	1	1
 	t	c	1	1
Q	n	$	1	1
Z	H	z	1	1
H	I	_	2	1
N	k	T	1	1
~	m	b	1	1
D	@	_	1	1
T	w	3	2	1
@	n	J	2	1
S	k	#	1	1
U	l	T	1	1
c	n	Z	1	1
8	r	7	106	1
g	z	j	4	1
6	U	N	1	1
Z	w	#	3	1
z	E	f	1	1
8	d	n	1	1
5	I	N	32	1
7	z	m	1	1
j	U	Q	2	1
h	2	V	1	1
0	n	s	1	1
N	T	H	1	1
4	d	7	1	1
9	r	{	6	1
~	n	l	1	1
Z	H	I	2	1
U	l	j	1	1
p	Q	D	1	1
N	s	k	1	1
j	u	v	4	1
4	s	J	2	1
~	m	p	1	1
w	1	6	1	1
3	J	g	1	1
q	N	g	2	1
u	l	g	1	1
 	{	Z	2	1
z	I	w	1	1
u	I	N	5	1
u	1	J	2	1
9	n	s	8	1
H	t	T	2	1
q	N	S	1	1
t	s	H	3	1
w	2	I	4	1
8	z	b	1	1
_	1	w	1	1
j	u	T	5	1
J	p	4	1	1
v	m	V	1	1
i	I	N	8	1
s	I	~	1	1
q	N	f	1	1
0	n	Z	1	1
h	j	9	3	1
v	j	U	4	1
4	I	N	2	1
8	d	f	1	1
Q	S	8	1	1
T	@	S	1	1
q	N	r	1	1
I	n	D	4	1
6	l	V	1	1
z	j	9	3	1
$	l	D	1	1
 	h	F	1	1
$	I	N	5	1
j	u	3	1	1
9	r	i	2	1
9	r	Q	5	1
4	l	p	2	1
D	h	5	1	1
6	z	P	3	1
U	f	$	1	1
1	I	N	8	1
T	{	J	2	1
j	u	$	1	1
v	j	u	17	1
9	r	7	22	1
w	#	j	1	1
g	z	3	3	1
N	k	b	1	1
U	l	4	1	1
D	I	D	1	1
q	m	b	1	1
z	m	j	3	1
z	m	P	3	1
g	n	P	6	1
j	u	J	9	1
U	l	g	1	1
S	m	7	3	1
7	n	S	1	1
7	n	s	20	1
P	w	3	4	1
T	J	8	1	1
V	g	Z	5	1
8	t	s	1	1
#	w	U	1	1
5	l	_	4	1
g	r	4	3	1
T	5	p	2	1
2	p	8	1	1
6	z	H	6	1
j	5	j	1	1
@	v	D	4	1
h	j	u	52	1
q	n	w	1	1
D	@	w	7	1
9	r	$	3	1
m	b	~	1	1
N	k	s	23	1
#	p	9	3	1
