No.	Word	Biphone joint trans logprob	Triphone joint trans logprob	Biphone avg trans logprob	Triphone avg trans logprob	Triphone avg centered logprob	Avg biphone prob	Avg triphone prob	NNB	NNB freq	Neighbors	GNM sim	GNM sim (adj.)	Nearest neighbors
1	b2z	-9.59007874325221	-8.71050436009469	-1.90672118537542	-1.61903911292364	-2.28701140294392	-5.70824640435041	-4.81110276262181	31	138.38847179163		0.467933065572085	1.20816159038518e-05	guise (75, 0.59259), bide (13, 0.64865), boys (52, 0.67901), buy (4, 0.70000), buy (4594, 0.70000)
2	bl1f	-15.9601717467205	-11.5864064879538	-2.88624921938971	-2.6631056680755	-2.43446424943618	-5.96853225907142	-5.2772357760316	9	39.8947180817882		0.135021761304767	3.48614188388543e-06	blame (130, 0.84615), blame (834, 0.84615), bluff (99, 0.86957), bluff (39, 0.86957), bluff (17, 0.86957)
3	blIg	-12.7623203423808	-10.1474238084802	-2.13911798002231	-1.9159744287081	-1.29708302044572	-5.18971976009106	-4.52932451006168	5	23.7710099594658		0.248924649206786	6.42701322472403e-06	brig (3, 0.37500), big (7059, 0.70000), big (142, 0.70000), blip (26, 0.78571), bliss (146, 0.91429)
4	brE_	-13.6619495717736	-9.80704029803866	-2.44320523728241	-2.2200616859682	-1.71406778367791	-5.85224986367546	-4.94979187348433	8	34.0758440421964		0.23208450175214	5.99221558317988e-06	bread (1327, 0.57500), bridge (1185, 0.60870), bridge (63, 0.60870), dredge (2, 0.69444), dredge (24, 0.69444)
5	J1k	-12.9917077219937	-inf	-2.80844005778722	-2.52075798533543	-3.48400303913046	-6.17022520511809	-5.86369881400321	43	207.109216577234		0.727289393809888	1.87779658105881e-05	shake (76, 0.50000), shake (2359, 0.50000), sheikh (41, 0.50000), take (34323, 0.59375), cheek (808, 0.62500)
6	J2nd	-14.1524788201702	-6.94726037315619	-2.23505526876781	-2.0119117174536	-1.55592947774961	-5.66503257596333	-4.63155513271058	18	99.7397323634144		0.229796937133191	5.93315269766314e-06	child (19389, 0.47368), chide (34, 0.70000), chine (10, 0.70000), kind (8882, 0.77419), kind (390, 0.77419)
7	Jul	-14.6933589058511	-inf	-3.09358776622139	-2.80590569376961	-3.32877609534051	-6.37373278191544	-6.48047301577858	25	120.906159864404		0.432274757324738	1.11609500742232e-05	joule (12, 0.54054), tool (800, 0.59375), tool (30, 0.59375), chew (6, 0.70000), chew (361, 0.70000)
8	d1p	-12.7449924595768	-inf	-2.9812279267483	-2.69354585429652	-3.64896438692104	-5.8487225231575	-6.1252697424513	33	164.83712602489		0.64902435762093	1.67572321298425e-05	jape (1, 0.57500), tape (604, 0.58824), tape (63, 0.58824), nape (35, 0.59375), deep (49, 0.62500)
9	d2z	-9.8953865110361	-5.86392169021609	-1.91613719810724	-1.62845512565546	-1.89417929724518	-5.68431277674742	-4.70851617384671	25	118.913370864691		0.360133261193792	9.2983207558233e-06	dice (38, 0.61290), dice (16, 0.61290), guise (75, 0.67647), die (4279, 0.70000), dye (91, 0.70000)
10	dr2s	-13.9514641399714	-9.43200666406756	-2.53757335814377	-2.31442980682956	-2.16259859057362	-5.3775458732494	-5.31433952623498	15	78.4204954265293		0.221860629693525	5.72824429251827e-06	trice (12, 0.58824), dice (38, 0.70000), dice (16, 0.70000), rice (488, 0.70000), dry (853, 0.70000)
11	drIt	-11.4757486704258	-8.4298979299562	-1.9664229376789	-1.74327938636469	-2.21212301144169	-4.78814854836074	-4.21458241775093	12	51.8463862845177		0.264914352282458	6.83985314818771e-06	grit (10, 0.67647), grit (49, 0.67647), drip (38, 0.67857), drip (183, 0.67857), brit (10, 0.69444)
12	dw5_	-18.8315938021308	-inf	-2.91091147773686	-2.68776792642265	-5.34804027866201	-6.26765823552396	-8.79043821607025	1	1.09861228866811		0.0325757096052976	8.41075872177264e-07	doge (1, 0.70000), dirge (8, 1.01343), woad (2, 1.27500), do (3, 1.40000), doe (49, 1.40000)
13	flip	-14.4210382934785	-9.59422768393881	-2.76503469558588	-2.54189114427167	-2.30178596289535	-5.98615150824383	-5.08776543982398	21	83.4636882064632		0.339367942871777	8.76217869075875e-06	fleet (263, 0.67857), fleet (4, 0.67857), fleet (17, 0.67857), flip (6, 0.67857), flip (122, 0.67857)
