Phon1	Phon2	Count	Prob(Phon1Phon2)
I	 	5350	0.0181069903136063
t	 	4910	0.0166178172784686
l	I	4653	0.0157480048465813
 	s	4571	0.0154704771445784
R	 	3567	0.0120724550371278
 	k	3505	0.0118626170185402
s	 	3494	0.0118253876926618
@	n	3422	0.0115817048323665
t	I	3407	0.011530937569805
s	t	3367	0.0113955582029743
I	s	3362	0.0113786357821204
r	I	3218	0.0108912700615299
 	p	3089	0.0104546716035009
I	n	2863	0.00968977818090745
@	R	2834	0.00959162813995519
n	t	2569	0.00869473983470179
d	 	2559	0.00866089499299412
I	k	2534	0.00857628288872493
n	 	2403	0.00813291546235438
 	d	2278	0.00770985494100844
 	I	2271	0.00768616355181307
t	@	2216	0.00750001692242085
 	b	2203	0.00745601862820088
n	I	2074	0.00701942017017186
d	I	2068	0.00699911326514726
 	m	2020	0.00683665802495042
 	r	2005	0.0067858907623889
 	f	1939	0.00656251480711825
@	r	1908	0.00645759579782445
P	 	1900	0.00643051992445831
k	 	1828	0.00618683706416305
r	@	1803	0.00610222495989386
I	N	1776	0.00601084388728314
k	@	1758	0.00594992317220932
 	t	1756	0.00594315420386779
@	l	1756	0.00594315420386779
s	I	1724	0.00583485071040323
n	d	1722	0.00582808174206169
H	 	1624	0.00549640229332647
t	r	1562	0.00528656427473889
S	H	1533	0.00518841423378663
l	 	1520	0.00514441593956665
I	t	1500	0.0050767262561513
@	t	1489	0.00503949693027286
 	h	1484	0.00502257450941902
n	s	1422	0.00481273649083143
E	n	1396	0.00472473990239148
@	s	1354	0.00458259156721924
l	@	1343	0.0045453622413408
I	l	1301	0.00440321390616856
m	@	1296	0.00438629148531472
{	n	1276	0.00431860180189937
p	r	1270	0.00429829489687477
 	l	1262	0.00427121902350863
N	 	1205	0.00407830342577488
@	b	1178	0.00398692235316415
m	 	1173	0.00396999993231032
m	I	1132	0.00383123608130885
@	m	1126	0.00381092917628424
z	 	1121	0.0037940067554304
j	u	1095	0.00370601016699045
 	w	1092	0.00369585671447815
I	d	1050	0.00355370837930591
I	m	1048	0.00354693941096437
 	g	1029	0.00348263421171979
r	E	1008	0.00341156004413367
1	S	1002	0.00339125313910907
V	n	981	0.00332017897152295
1	t	975	0.00329987206649835
s	k	975	0.00329987206649835
k	s	949	0.00321187547805839
n	@	938	0.00317464615217995
 	@	936	0.00316787718383841
I	v	926	0.00313403234213074
s	p	916	0.00310018750042306
E	k	902	0.00305280472203232
d	@	878	0.00297157710193389
r	1	874	0.00295803916525082
r	{	868	0.00293773226022622
