Phon1	Phon2	Count	Phon1 Count	Prob(Phon2|Phon1)
R	 	3567	3567	1
F	 	3	3	1
x	 	1	1	1
P	 	1900	2276	0.834797891036907
H	 	1624	2124	0.764595103578154
0	n	2	3	0.666666666666667
q	N	18	32	0.5625
~	N	6	11	0.545454545454545
c	n	1	2	0.5
c	m	1	2	0.5
D	@	161	328	0.490853658536585
N	 	1205	2456	0.490635179153094
U	l	674	1413	0.476999292285916
S	H	1533	3569	0.429532081815635
j	u	1095	2577	0.424912689173458
8	r	259	618	0.419093851132686
q	n	13	32	0.40625
9	r	193	488	0.395491803278689
z	 	1121	2841	0.394579373460049
Z	H	71	195	0.364102564102564
6	n	405	1134	0.357142857142857
0	N	1	3	0.333333333333333
l	I	4653	13977	0.33290405666452
t	 	4910	17750	0.276619718309859
d	 	2559	9348	0.273748395378691
~	n	3	11	0.272727272727273
Z	@	53	195	0.271794871794872
V	n	981	3685	0.266214382632293
r	I	3218	12132	0.265248928453676
8	R	163	618	0.263754045307443
T	 	226	960	0.235416666666667
_	I	495	2114	0.234153263954588
9	l	109	488	0.223360655737705
v	@	752	3374	0.222880853586248
d	I	2068	9348	0.22122379118528
j	@	565	2577	0.219247186651145
E	n	1396	6473	0.215665070291982
s	 	3494	16407	0.212957883830073
g	r	680	3223	0.210983555693453
6	t	238	1134	0.209876543209877
4	n	86	410	0.209756097560976
J	@	271	1306	0.20750382848392
{	n	1276	6183	0.206372311175805
s	t	3367	16407	0.205217285305053
J	 	267	1306	0.204441041347626
1	S	1002	4913	0.203948707510686
w	I	523	2582	0.202556158017041
I	 	5350	26488	0.201978254303836
1	t	975	4913	0.198453083655608
t	I	3407	17750	0.191943661971831
7	n	235	1233	0.190592051905921
@	n	3422	18210	0.187918725974739
_	 	397	2114	0.187795648060549
4	l	75	410	0.182926829268293
j	U	470	2577	0.182382615444315
N	k	447	2456	0.18200325732899
~	m	2	11	0.181818181818182
7	r	213	1233	0.172749391727494
v	 	568	3374	0.168346176644932
Q	n	744	4451	0.167153448663222
n	t	2569	15926	0.161308552053246
Z	 	31	195	0.158974358974359
m	@	1296	8176	0.158512720156556
$	t	410	2595	0.157996146435453
_	@	329	2114	0.155629139072848
@	R	2834	18210	0.155628775398133
z	@	439	2841	0.154523055262232
9	s	75	488	0.153688524590164
p	r	1270	8362	0.151877541258072
n	 	2403	15926	0.150885344719327
r	@	1803	12132	0.148615232443126
5	 	573	3894	0.147149460708783
k	 	1828	12444	0.146898103503697
7	l	177	1233	0.143552311435523
7	R	177	1233	0.143552311435523
m	 	1173	8176	0.143468688845401
v	I	484	3374	0.143449911084766
#	s	312	2179	0.143184947223497
k	@	1758	12444	0.141272902603664
f	I	699	4950	0.141212121212121
T	I	135	960	0.140625
E	k	902	6473	0.139348061177198
m	I	1132	8176	0.138454011741683
5	l	517	3894	0.132768361581921
u	t	334	2516	0.13275039745628
2	t	503	3805	0.132194480946124
z	I	372	2841	0.130939809926082
n	I	2074	15926	0.130227301268366
$	l	337	2595	0.129865125240848
4	 	53	410	0.129268292682927
T	r	124	960	0.129166666666667
h	E	273	2114	0.129139072847682
{	k	794	6183	0.12841662623322
9	R	62	488	0.127049180327869
I	s	3362	26488	0.126925400181214
4	d	52	410	0.126829268292683
#	t	276	2179	0.126663607159247
g	@	403	3223	0.125038783741855
h	{	264	2114	0.124881740775781
t	@	2216	17750	0.124845070422535
b	P	734	5896	0.12449118046133
2	@	470	3805	0.123521681997372
2	n	464	3805	0.121944809461235
S	@	430	3569	0.120481927710843
7	s	147	1233	0.119221411192214
D	I	39	328	0.11890243902439
 	s	4571	38731	0.118019157780589
2	z	444	3805	0.116688567674113
3	t	196	1680	0.116666666666667
i	n	385	3341	0.115234959592936
E	s	744	6473	0.114938977290283
b	I	676	5896	0.114654002713704
E	l	729	6473	0.112621659199753
j	9	285	2577	0.110593713620489
J	I	144	1306	0.110260336906585
N	g	269	2456	0.109527687296417
l	 	1520	13977	0.108750089432639
S	 	388	3569	0.108713925469319
u	 	273	2516	0.108505564387917
n	d	1722	15926	0.108125078488007
I	n	2863	26488	0.108086680761099
$	d	277	2595	0.106743737957611
b	l	627	5896	0.10634328358209
s	I	1724	16407	0.105077101237277
@	r	1908	18210	0.104777594728171
3	s	176	1680	0.104761904761905
V	m	386	3685	0.104748982360923
Q	k	464	4451	0.104246236800719
Q	l	463	4451	0.104021568186924
3	k	174	1680	0.103571428571429
_	E	217	2114	0.102649006622517
p	@	857	8362	0.102487443195408
3	n	170	1680	0.101190476190476
p	 	823	8362	0.0984214302798374
m	p	803	8176	0.0982142857142857
w	E	253	2582	0.097986057319907
w	1	251	2582	0.0972114639814098
6	s	110	1134	0.0970017636684303
@	l	1756	18210	0.0964305326743548
u	n	242	2516	0.0961844197138315
6	@	109	1134	0.0961199294532628
l	@	1343	13977	0.0960864277026544
#	n	209	2179	0.0959155575952272
I	k	2534	26488	0.0956659619450317
3	m	160	1680	0.0952380952380952
4	@	39	410	0.0951219512195122
d	@	878	9348	0.0939238339751819
