Phon1	Phon2	Phon3	Count	Prob(Phon1 Phon2 Phon3)
@	R	 	2834	0.191680757524518
l	I	 	2594	0.175448089279675
S	H	 	1339	0.0905647615826852
I	s	 	1283	0.0867771389922219
 	I	n	1259	0.0851538721677376
I	N	 	1082	0.073182279337166
@	n	t	1037	0.070138654041258
n	t	 	1022	0.0691241122759554
n	I	s	969	0.0655393980385526
 	d	I	961	0.0649983090970578
1	S	H	892	0.0603314169766655
I	s	t	888	0.0600608725059182
s	t	 	818	0.055326344267839
 	p	r	813	0.0549881636794048
@	t	I	787	0.0532296246195468
t	I	 	781	0.0528238079134258
@	l	I	769	0.0520121745011836
I	k	 	765	0.0517416300304363
@	n	 	734	0.0496449103821441
 	s	t	724	0.0489685492052756
@	r	I	718	0.0485627324991545
r	I	 	703	0.0475481907338519
t	@	R	678	0.0458572877916808
b	P	 	651	0.0440311126141359
t	I	k	648	0.0438282042610754
 	k	@	645	0.0436252959080149
m	@	n	634	0.0428812986134596
k	@	n	618	0.0417991207304701
 	r	I	612	0.041393304024349
1	t	 	606	0.0409874873182279
l	I	s	548	0.0370645924923909
 	k	Q	546	0.0369293202570172
d	I	s	544	0.0367940480216436
 	V	n	544	0.0367940480216436
s	t	I	541	0.036591139668583
@	s	 	539	0.0364558674332093
@	r	@	525	0.0355089617855935
s	t	r	518	0.0350355089617856
@	n	s	515	0.0348326006087251
@	b	P	489	0.0330740615488671
@	m	 	484	0.0327358809604329
I	d	 	477	0.032262428136625
 	t	r	457	0.0309097057828881
 	s	k	456	0.0308420696652012
I	t	 	436	0.0294893473114643
t	l	I	430	0.0290835306053433
n	d	 	425	0.028745350016909
I	k	@	421	0.0284748055461616
E	n	t	419	0.028339533310788
n	s	 	415	0.0280689888400406
s	l	I	415	0.0280689888400406
{	n	d	412	0.02786608048698
 	s	I	411	0.0277984443692932
t	I	v	408	0.0275955360162327
 	k	r	401	0.0271220831924248
 	s	p	399	0.0269868109570511
 	s	E	399	0.0269868109570511
n	d	@	397	0.0268515387216774
s	t	@	375	0.0253635441325668
I	n	I	372	0.0251606357795063
I	l	I	368	0.0248900913087589
I	n	t	364	0.0246195468380115
I	k	s	361	0.024416638484951
 	k	{	359	0.0242813662495773
t	@	r	356	0.0240784578965167
I	v	 	355	0.0240108217788299
 	m	I	354	0.023943185661143
t	r	I	353	0.0238755495434562
k	@	l	351	0.0237402773080825
n	d	I	347	0.0234697328373351
n	t	@	332	0.0224551910720325
n	t	I	332	0.0224551910720325
 	b	r	331	0.0223875549543456
k	P	 	324	0.0219141021305377
 	g	r	321	0.0217111937774772
 	m	{	321	0.0217111937774772
 	I	m	320	0.0216435576597903
r	I	s	310	0.0209671964829219
l	@	t	309	0.020899560365235
f	U	l	307	0.0207642881298613
