Phon1	Phon2	Phon3	Count	Phon1Phon2 Count	Prob(Phon3|Phon1Phon2)
 	c	n	1	1	1
Q	D	@	5	5	1
1	q	n	1	1	1
N	Q	n	1	1	1
#	R	 	94	94	1
6	g	3	1	1	1
$	R	 	174	174	1
_	n	I	3	3	1
v	D	@	5	5	1
m	g	r	1	1	1
N	5	v	2	2	1
6	m	@	4	4	1
9	w	I	1	1	1
J	r	@	18	18	1
V	T	I	6	6	1
I	V	n	1	1	1
D	b	$	1	1	1
t	c	m	1	1	1
2	u	 	1	1	1
6	E	v	1	1	1
4	r	2	1	1	1
$	j	@	2	2	1
g	d	 	14	14	1
V	x	 	1	1	1
9	_	I	2	2	1
S	f	U	4	4	1
j	w	@	1	1	1
I	6	 	1	1	1
4	1	 	1	1	1
U	#	S	1	1	1
g	_	{	1	1	1
S	q	N	1	1	1
d	_	{	1	1	1
Z	P	 	2	2	1
1	$	t	1	1	1
u	2	d	1	1	1
Z	8	R	1	1	1
7	R	 	177	177	1
z	4	d	1	1	1
Z	E	t	1	1	1
Q	@	R	2	2	1
P	z	 	40	40	1
6	r	I	3	3	1
 	q	n	3	3	1
P	T	I	1	1	1
4	p	u	1	1	1
_	H	@	1	1	1
E	Z	@	28	28	1
3	R	 	62	62	1
f	q	N	1	1	1
k	q	N	1	1	1
r	j	u	1	1	1
N	_	I	1	1	1
T	S	1	1	1	1
D	l	I	4	4	1
j	~	N	1	1	1
D	V	s	1	1	1
b	S	E	1	1	1
0	N	 	1	1	1
Z	U	r	1	1	1
z	_	i	1	1	1
2	#	r	1	1	1
_	g	r	2	2	1
Z	j	@	4	4	1
2	6	t	1	1	1
D	m	I	6	6	1
u	6	t	2	2	1
1	{	k	2	2	1
N	2	@	1	1	1
D	n	I	1	1	1
u	i	 	1	1	1
_	j	@	4	4	1
N	#	m	1	1	1
Z	I	g	1	1	1
p	q	N	2	2	1
_	t	@	1	1	1
b	~	m	1	1	1
D	$	l	2	2	1
u	8	 	1	1	1
H	f	5	2	2	1
P	{	k	1	1	1
4	i	 	1	1	1
8	R	 	163	163	1
v	J	2	1	1	1
g	Z	9	5	5	1
N	6	t	4	4	1
_	d	 	24	24	1
z	8	r	3	3	1
j	6	l	2	2	1
z	6	n	3	3	1
#	@	n	1	1	1
1	6	t	2	2	1
m	q	N	4	4	1
5	6	t	1	1	1
4	{	k	2	2	1
P	v	2	1	1	1
P	1	_	1	1	1
T	6	z	6	6	1
8	Z	 	1	1	1
7	{	d	1	1	1
z	q	n	1	1	1
n	U	k	3	3	1
s	F	 	1	1	1
z	F	 	1	1	1
$	v	E	1	1	1
U	w	1	3	3	1
d	D	@	2	2	1
u	{	d	1	1	1
 	9	d	2	2	1
H	T	 	4	4	1
D	r	@	1	1	1
v	_	i	1	1	1
w	0	N	1	1	1
Z	w	#	3	3	1
c	n	Z	1	1	1
6	U	N	1	1	1
g	8	r	11	11	1
4	5	t	1	1	1
b	p	i	2	2	1
T	P	 	3	3	1
r	~	N	1	1	1
N	J	8	1	1	1
z	U	k	1	1	1
v	h	1	1	1	1
S	J	8	1	1	1
V	D	@	36	36	1
 	~	m	1	1	1
N	1	d	1	1	1
7	_	E	1	1	1
D	t	V	1	1	1
U	_	i	1	1	1
1	#	l	2	2	1
H	g	{	1	1	1
f	_	{	1	1	1
v	9	r	1	1	1
@	D	@	3	3	1
6	_	 	2	2	1
2	2	d	2	2	1
J	j	#	1	1	1
u	R	 	1	1	1
P	_	{	2	2	1
v	p	2	1	1	1
P	j	u	8	8	1
6	v	 	1	1	1
D	P	 	1	1	1
4	E	n	2	2	1
#	Z	 	21	21	1
4	h	U	1	1	1
k	9	r	1	1	1
v	U	{	2	2	1
7	T	 	11	11	1
J	4	s	2	2	1
Z	u	 	1	1	1
h	F	 	1	1	1
n	D	@	5	5	1
l	D	5	1	1	1
p	_	{	2	2	1
U	N	 	1	1	1
z	S	i	1	1	1
q	m	b	1	1	1
1	i	 	2	2	1
H	8	R	1	1	1
t	v	5	1	1	1
I	~	N	1	1	1
m	9	R	3	3	1
J	J	1	1	1	1
H	S	I	4	4	1
D	h	5	1	1	1
5	V	p	3	3	1
4	m	@	5	5	1
@	R	 	2834	2834	1
$	I	N	5	5	1
I	q	N	2	2	1
p	0	n	1	1	1
l	0	n	1	1	1
9	R	 	62	62	1
U	Q	s	2	2	1
4	S	Q	1	1	1
k	v	#	1	1	1
s	~	N	1	1	1
i	6	 	1	1	1
@	I	n	1	1	1
6	k	{	1	1	1
2	3	n	1	1	1
c	m	b	1	1	1
h	9	r	1	1	1
m	~	n	1	1	1
D	f	1	1	1	1
p	v	2	1	1	1
_	f	U	4	4	1
@	Z	i	1	1	1
9	z	 	1	1	1
i	V	p	2	2	1
S	s	t	1	1	1
1	1	 	2	2	1
u	r	I	1	1	1
9	t	 	3	3	1
H	k	$	1	1	1
f	v	Q	1	1	1
{	D	@	12	12	1
S	j	@	3	3	1
S	9	l	12	12	1
7	h	E	3	3	1
m	J	8	1	1	1
H	n	I	5	5	1
N	V	p	4	4	1
1	j	1	1	1	1
#	j	3	1	1	1
f	D	@	1	1	1
T	J	8	1	1	1
T	d	1	1	1	1
N	l	I	200	204	0.980392156862745
S	l	I	41	42	0.976190476190476
E	D	@	41	42	0.976190476190476
H	z	 	31	32	0.96875
v	l	I	145	150	0.966666666666667
_	m	@	22	23	0.956521739130435
v	8	r	20	21	0.952380952380952
h	j	u	52	55	0.945454545454545
k	P	 	324	348	0.931034482758621
v	n	I	65	70	0.928571428571429
T	f	U	21	23	0.91304347826087
n	P	 	154	169	0.911242603550296
_	l	I	9	10	0.9
H	l	I	18	20	0.9
t	l	I	430	479	0.897703549060543
S	P	 	78	87	0.896551724137931
g	U	d	26	29	0.896551724137931
8	z	 	17	19	0.894736842105263
z	1	S	102	114	0.894736842105263
1	S	H	892	1002	0.890219560878243
b	P	 	651	734	0.886920980926431
N	z	 	54	61	0.885245901639344
v	V	l	23	26	0.884615384615385
P	@	R	21	24	0.875
T	H	 	7	8	0.875
S	H	 	1339	1533	0.873450750163079
Z	H	 	62	71	0.873239436619718
 	6	t	116	133	0.87218045112782
2	J	@	6	7	0.857142857142857
j	#	d	18	21	0.857142857142857
f	U	l	307	360	0.852777777777778
v	z	 	11	13	0.846153846153846
#	D	@	16	19	0.842105263157895
s	P	 	69	82	0.841463414634146
d	n	I	76	91	0.835164835164835
t	n	I	96	115	0.834782608695652
6	D	d	5	6	0.833333333333333
~	N	 	5	6	0.833333333333333
T	l	I	25	30	0.833333333333333
j	V	N	5	6	0.833333333333333
i	j	u	5	6	0.833333333333333
7	m	 	44	53	0.830188679245283
m	P	 	29	35	0.828571428571429
v	d	 	28	34	0.823529411764706
p	P	 	70	85	0.823529411764706
l	l	I	18	22	0.818181818181818
7	f	U	9	11	0.818181818181818
w	V	n	35	43	0.813953488372093
m	l	I	70	86	0.813953488372093
f	H	 	13	16	0.8125
l	n	I	60	74	0.810810810810811
S	t	 	17	21	0.80952380952381
 	4	l	17	21	0.80952380952381
H	d	 	21	26	0.807692307692308
 	V	n	544	675	0.805925925925926
Z	1	 	4	5	0.8
D	E	n	4	5	0.8
m	d	 	40	50	0.8
7	z	 	4	5	0.8
m	m	1	4	5	0.8
z	P	 	43	54	0.796296296296296
d	z	 	76	96	0.791666666666667
d	l	I	222	281	0.790035587188612
U	{	l	11	14	0.785714285714286
D	{	t	7	9	0.777777777777778
P	2	z	7	9	0.777777777777778
t	T	 	10	13	0.769230769230769
J	m	@	16	21	0.761904761904762
5	v	@	204	268	0.761194029850746
f	j	u	82	108	0.759259259259259
Q	_	I	71	94	0.75531914893617
z	d	 	40	53	0.754716981132076
S	3	t	12	16	0.75
D	5	 	3	4	0.75
T	j	u	9	12	0.75
T	1	n	3	4	0.75
J	s	t	3	4	0.75
8	v	4	3	4	0.75
4	k	Q	3	4	0.75
j	7	l	6	8	0.75
J	t	 	12	16	0.75
u	5	d	3	4	0.75
 	Z	q	3	4	0.75
l	U	k	15	20	0.75
D	H	 	3	4	0.75
w	6	 	3	4	0.75
D	i	 	3	4	0.75
$	Z	w	3	4	0.75
g	P	 	85	114	0.745614035087719
v	Q	l	29	39	0.743589743589744
h	6	s	87	118	0.73728813559322
f	P	 	33	45	0.733333333333333
H	s	 	44	60	0.733333333333333
4	d	 	38	52	0.730769230769231
k	S	H	157	217	0.723502304147465
P	n	I	13	18	0.722222222222222
d	6	n	72	100	0.72
5	$	d	5	7	0.714285714285714
3	D	I	15	21	0.714285714285714
{	Z	9	5	7	0.714285714285714
z	n	I	5	7	0.714285714285714
v	P	 	69	97	0.711340206185567
N	@	R	17	24	0.708333333333333
d	P	 	122	173	0.705202312138728
u	S	H	45	64	0.703125
f	d	I	7	10	0.7
T	{	N	14	20	0.7
D	d	 	7	10	0.7
p	4	n	49	71	0.690140845070423
Z	9	l	11	16	0.6875
u	Z	H	26	38	0.684210526315789
7	n	 	160	235	0.680851063829787
s	J	@	44	65	0.676923076923077
t	P	 	167	247	0.676113360323887
4	n	t	58	86	0.674418604651163
d	9	R	2	3	0.666666666666667
#	Q	S	2	3	0.666666666666667
H	2	d	2	3	0.666666666666667
I	Z	H	26	39	0.666666666666667
k	H	I	2	3	0.666666666666667
U	n	I	8	12	0.666666666666667
Q	T	 	24	36	0.666666666666667
S	m	@	20	30	0.666666666666667
2	j	9	2	3	0.666666666666667
8	g	r	2	3	0.666666666666667
f	n	I	8	12	0.666666666666667
b	_	E	16	24	0.666666666666667
m	v	E	2	3	0.666666666666667
g	9	m	2	3	0.666666666666667
z	t	1	2	3	0.666666666666667
w	4	z	2	3	0.666666666666667
r	3	z	2	3	0.666666666666667
H	p	$	2	3	0.666666666666667
d	U	s	2	3	0.666666666666667
I	j	Q	2	3	0.666666666666667
v	u	 	2	3	0.666666666666667
t	q	n	2	3	0.666666666666667
#	5	I	2	3	0.666666666666667
Z	q	n	2	3	0.666666666666667
H	r	I	8	12	0.666666666666667
7	g	r	4	6	0.666666666666667
7	v	E	2	3	0.666666666666667
5	Z	@	10	15	0.666666666666667
s	9	r	2	3	0.666666666666667
u	#	n	2	3	0.666666666666667
_	r	5	2	3	0.666666666666667
9	b	P	4	6	0.666666666666667
5	3	s	2	3	0.666666666666667
P	m	@	20	30	0.666666666666667
D	s	@	2	3	0.666666666666667
l	j	@	114	172	0.662790697674419
g	j	U	39	59	0.661016949152542
t	f	U	84	128	0.65625
2	I	N	17	26	0.653846153846154
$	w	@	13	20	0.65
p	S	H	42	65	0.646153846153846
