		lab	bilab	dent	cor	alv	pal	dors	velar	dist	obstr	son	stop	cont	cons	glide	strid	aff	nas	lat	rhot	oral	vcd	vcls	spr. gl.	margin	high	nonhigh	low	nonlow	long	short	vshort	ATR	RTR	diph	mono	nuc
{	41	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	0	0	+	0	0	+	0	+	+
z	12	0	0	0	+	+	0	0	0	0	+	0	0	+	0	0	+	0	0	0	0	0	+	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0
w	23	+	+	0	0	0	0	+	0	0	0	+	0	0	0	+	0	0	0	0	0	0	+	0	0	+	+	0	0	0	0	0	0	0	0	0	0	0
v	5	+	0	+	0	0	0	0	0	+	+	0	0	+	0	0	0	0	0	0	0	0	+	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0
u	30	+	0	0	0	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	0	0	+	+	0	0	+	0	0	+	+
t	7	0	0	0	+	+	0	0	0	0	+	0	+	0	0	0	0	0	0	0	0	+	0	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0
s	11	0	0	0	+	+	0	0	0	0	+	0	0	+	0	0	+	0	0	0	0	0	0	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0
r	21	+	0	0	+	+	0	0	0	0	0	+	0	0	0	0	0	0	0	0	+	0	+	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0
p	2	+	+	0	0	0	0	0	0	0	+	0	+	0	0	0	0	0	0	0	0	+	0	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0
n	22	0	0	0	+	+	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	+	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0
m	6	+	+	0	0	0	0	0	0	0	0	+	+	0	+	0	0	0	+	0	0	0	+	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0
l	20	0	0	0	+	+	0	0	0	0	0	+	0	0	0	0	0	0	0	+	0	0	+	0	0	+	0	0	0	0	0	0	0	0	0	0	0	0
k	17	0	0	0	0	0	0	+	+	0	+	0	+	0	0	0	0	0	0	0	0	+	0	+	0	+	0	0	0	0	0	0	0	0	0	0	0	0
j	24	0	0	0	+	0	+	0	0	0	0	+	0	0	0	+	0	0	0	0	0	0	+	0	0	+	+	0	0	0	0	0	0	0	0	0	0	0
