		syllabic	consonantal	hi	lo	bk	rnd	long	diphthong	reduced	rhotacized	nasal	labial	coronal	dorsal	bilabial	dental	alveolar	palatal	velar	obstruent	sonorant	stop	continuant	glide	consonantal	oral	affricate	strident	distributed	lateral	rhotic	nasal	voice	voiceless	spread glottis
"I,"	73	"+,"	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"E,"	69	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"{,"	123	"+,"	"-,"	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"V,"	86	"+,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"Q,"	81	"+,"	"-,"	"-,"	"+,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"U,"	85	"+,"	"-,"	"+,"	"-,"	"+,"	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"@,"	64	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"i,"	105	"+,"	"-,"	"+,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"#,"	35	"+,"	"-,"	"-,"	"+,"	"+,"	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"$,"	36	"+,"	"-,"	"-,"	"-,"	"+,"	"+,"	"+,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"u,"	117	"+,"	"-,"	"+,"	"-,"	"+,"	"+,"	"+,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"3,"	51	"+,"	"-,"	"-,"	"-,"	"+,"	"-,"	"+,"	"-,"	"-,"	"+,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
"1,"	49	"+,"	"-,"	"-,"	"-,"	"-,"	"-,"	"+,"	"-,"	"-,"	"-,"	"-,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"	"0,"
