			Ident (asp)	Ident (voice)	Ident (asp)/_V	Ident (voice)/_V	*[+v][-v][+v]	*dh	*[-son/+voice]	*aspiration
			Id (asp)	Id (voice)	Id (asp)/_V	Id (voice)/_V	*[+v][-v][+v]	*dh	*[-son/+voice]	*asp
ta	ta	1	0	0	0	0	0	0	0	0
	da		0	1	0	1	0	0	1	0
ta	ta	1	0	0	0	0	0	0	0	0
	tha		1	0	1	0	0	0	0	1
ta	ta	1	0	0	0	0	0	0	0	0
	dha		1	1	1	1	0	1	1	1
tha	tha	1	0	0	0	0	0	0	0	2
	ta		1	0	1	0	0	0	0	0
tha	tha	1	0	0	0	0	0	0	0	5
	da		1	1	1	1	0	0	1	0
tha	tha	1	0	0	0	0	0	0	0	0
	dha		0	1	0	1	0	1	1	0
da1	ta		0	1	0	0	0	0	0	0
	da		0	0	0	0	0	0	1	0
da2	ta		0	0	0	1	0	0	0	0
	da		0	0	0	0	0	0	1	0
da	ta		0	0	0	0	0	0	0	0
	tha		1	0	1	0	0	0	0	1
da1	ta		0	5	0	0	0	0	0	0
	dha		1	0	1	0	0	1	1	1
da2	ta		0	0	0	5	0	0	0	0
	dha		1	0	1	0	0	1	1	1
dha	ta		0	1	0	0	0	0	0	0
	da		0	0	0	0	0	0	1	0
dha	ta		0	0	0	1	0	0	0	0
	da		0	0	0	0	0	0	1	0
dha	ta		1	0	0	0	0	0	0	0
	tha		0	0	0	0	0	0	0	1
dha	ta		0	0	1	0	0	0	0	0
	tha		0	0	0	0	0	0	0	1
dha	ta		3	0	0	0	0	0	0	0
	dha		0	0	0	0	0	1	1	1
dha	ta		0	3	0	0	0	0	0	0
	dha		0	0	0	0	0	1	1	1
dha	ta		0	0	3	0	0	0	0	0
	dha		0	0	0	0	0	1	1	1
dha	ta		0	0	0	3	0	0	0	0
	dha		0	0	0	0	0	1	1	1
ada	ada	1	0	0	0	0	0	0	3	0
	ata		0	1	0	1	1	0	0	0
ada	ada	1	0	0	0	0	0	0	6	0
	atha		1	1	1	1	1	0	0	1
ada	ada	1	0	0	0	0	0	0	0	0
	adha		1	0	1	0	0	1	0	1
atha	atha	1	0	0	0	0	0	0	0	2
	ata		1	0	1	0	0	0	0	0
atha	atha	1	0	0	0	0	5	0	0	0
	ada		1	1	1	1	0	0	1	0
atha	atha	1	0	0	0	0	0	0	0	5
